[2026-02-10 19:52:48] [INFO    ] discord.client: logging in using static token
[2026-02-10 19:52:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'F1PredictBotTest2', 'primary_guild': None, 'mfa_enabled': False, 'id': '1468255984056012812', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6010', 'clan': None, 'bot': True, 'avatar': '7c197a7da7961ce379b32cc6f118040e'}, 'session_type': 'normal', 'session_id': 'a058368e6ba56ebf68f057134115edbe', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1466452726647885867'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'saudi-arabia', 'singapore', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1468255984056012812', 'flags': 11010048}, '_trace': ['["gateway-prd-arm-us-east1-d-mrpr",{"micros":245112,"calls":["id_created",{"micros":912,"calls":[]},"session_lookup_time",{"micros":506,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-192",{"micros":243224,"calls":["start_session",{"micros":209250,"calls":["discord-api-rpc-587c54f4b-5lk5v",{"micros":75644,"calls":["get_user",{"micros":9917},"get_guilds",{"micros":3608},"send_scheduled_deletion_message",{"micros":20},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":18},"pending_payments",{"micros":1736},"apex_experiments",{"micros":116862},"sessions_experiments",{"micros":7},"user_activities",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":14},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":13635,"calls":[]},"guilds_started",{"micros":97,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":20175,"calls":[]},"connect_finished",{"micros":20192,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-02-10 19:52:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-10 19:52:50] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: a058368e6ba56ebf68f057134115edbe).
[2026-02-10 19:52:50] [DEBUG   ] discord.client: Dispatching event connect
[2026-02-10 19:52:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'owner_configured_content_level': 0, 'splash': None, 'inventory_settings': None, 'premium_tier': 0, 'icon': '85243caea1a48e01cbb8d12acc4105f5', 'profile': None, 'emojis': [], 'members': [{'user': {'username': 'F1PredictBotTest2', 'public_flags': 0, 'primary_guild': None, 'id': '1468255984056012812', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6010', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7c197a7da7961ce379b32cc6f118040e'}, 'roles': ['1468257364108120322'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T14:50:34.566000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'activity_instances': [], 'premium_subscription_count': 0, 'guild_scheduled_events': [], 'rules_channel_id': None, 'max_stage_video_channel_users': 50, 'application_command_counts': {}, 'id': '1466452726647885867', 'name': 'BotTestServer', 'home_header': None, 'public_updates_channel_id': None, 'banner': None, 'premium_progress_bar_enabled_user_updated_at': None, 'discovery_splash': None, 'latest_onboarding_question_id': None, 'threads': [], 'verification_level': 0, 'hub_type': None, 'preferred_locale': 'en-US', 'premium_features': None, 'stickers': [], 'max_members': 25000000, 'presences': [], 'description': None, 'application_id': None, 'afk_timeout': 300, 'premium_progress_bar_enabled': False, 'large': False, 'stage_instances': [], 'max_video_channel_users': 25, 'vanity_url_code': None, 'afk_channel_id': None, 'incidents_data': None, 'embedded_activities': [], 'joined_at': '2026-02-03T14:50:34.566000+00:00', 'mfa_level': 0, 'system_channel_id': '1466452728015224917', 'soundboard_sounds': [], 'system_channel_flags': 0, 'default_message_notifications': 0, 'roles': [{'version': 1769700330780, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1466452726647885867', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769768083064, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': 'new role', 'mentionable': False, 'managed': False, 'id': '1466454272668471494', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769768083058, 'unicode_emoji': None, 'tags': {'bot_id': '1466451814827294936'}, 'position': 2, 'permissions': '563276639759424', 'name': 'BotTest', 'mentionable': False, 'managed': True, 'id': '1466709770563223664', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1769768083509, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'First Bot Tester!', 'mentionable': False, 'managed': False, 'id': '1466738153019805842', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1770130234531, 'unicode_emoji': None, 'tags': {'bot_id': '1468255984056012812'}, 'position': 1, 'permissions': '551903389696', 'name': 'F1PredictBotTest2', 'mentionable': False, 'managed': True, 'id': '1468257364108120322', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'unavailable': False, 'owner_id': '1349232762770690080', 'lazy': True, 'safety_alerts_channel_id': None, 'member_count': 7, 'nsfw_level': 0, 'nsfw': False, 'version': 1769711344847, 'voice_states': [], 'moderator_reporting': None, 'region': 'deprecated', 'features': ['BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE', 'PIN_PERMISSION_MIGRATION_COMPLETE'], 'explicit_content_filter': 0, 'channels': [{'version': 1769700330792, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1466452728015224915', 'flags': 0}, {'version': 1769700330799, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1466452728015224916', 'flags': 0}, {'version': 1770729550022, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1466452728015224915', 'name': 'general', 'last_pin_timestamp': '2026-02-10T13:19:10.016000+00:00', 'last_message_id': '1470786968102371341', 'id': '1466452728015224917', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1769700330811, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1466452728015224916', 'name': 'General', 'last_message_id': None, 'id': '1466452728015224918', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}]}}
[2026-02-10 19:52:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-10 19:52:50] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-10 19:52:52] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-10 19:52:54] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1468255984056012812/commands with [{"name":"race_predict","description":"Make your race predictions","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"sprint_predict","description":"Make your sprint predictions","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"force_points","description":"Give points to a user(MODS ONLY)","type":1,"options":[{"type":6,"name":"user","description":"User receiving points","required":true},{"type":4,"name":"points","description":"Number of points to give (can be negative)","required":true},{"type":3,"name":"reason","description":"Reason for awarding points (optional)","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"constructor_predict","description":"Predict the winning constructor","type":1,"options":[{"type":3,"name":"constructor","description":"Select your most-scoring constructor","required":true,"autocomplete":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"prediction_lock","description":"Manually Lock/Unlock predictions","type":1,"options":[{"type":3,"name":"prediction","description":"\u2026","required":true,"choices":[{"name":"Race","value":"race"},{"name":"Sprint","value":"sprint"}]},{"type":3,"name":"state","description":"\u2026","required":true,"choices":[{"name":"Lock","value":"LOCKED"},{"name":"Unlock","value":"OPEN"},{"name":"Auto","value":"AUTO"}]}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"season_predict","description":"Predict the WDC & WCC","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"season_lock","description":"Lock season predictions (MODS ONLY)","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"season_unlock","description":"Unlock season predictions (MODS ONLY)","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"leaderboard","description":"View the leaderboard","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"guide","description":"Get a list of bot commands and how to use them","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"crazy_predict","description":"Submit your absolutely unhinged prediction for the season","type":1,"options":[{"type":3,"name":"prediction","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"view_crazy_predictions","description":"View a user's crazy season predictions","type":1,"options":[{"type":6,"name":"user","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"race_bold_predict","description":"Submit or update your bold prediction for the next race","type":1,"options":[{"type":3,"name":"prediction","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"update_leaderboard","description":"Manually update the leaderboard","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-02-10 19:52:54] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-02-10 19:52:54] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1468255984056012812/commands has received [{'id': '1469005930237526037', 'application_id': '1468255984056012812', 'version': '1469005930741104783', 'default_member_permissions': None, 'type': 1, 'name': 'race_predict', 'name_localizations': None, 'description': 'Make your race predictions', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1468305132348244212', 'application_id': '1468255984056012812', 'version': '1468305132348244216', 'default_member_permissions': None, 'type': 1, 'name': 'sprint_predict', 'name_localizations': None, 'description': 'Make your sprint predictions', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1468305132348244213', 'application_id': '1468255984056012812', 'version': '1469296780536446997', 'default_member_permissions': None, 'type': 1, 'name': 'force_points', 'name_localizations': None, 'description': 'Give points to a user(MODS ONLY)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': 'User receiving points', 'description_localizations': None, 'required': True}, {'type': 4, 'name': 'points', 'name_localizations': None, 'description': 'Number of points to give (can be negative)', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'reason', 'name_localizations': None, 'description': 'Reason for awarding points (optional)', 'description_localizations': None}], 'nsfw': False}, {'id': '1469005930237526038', 'application_id': '1468255984056012812', 'version': '1469998957693374525', 'default_member_permissions': None, 'type': 1, 'name': 'constructor_predict', 'name_localizations': None, 'description': 'Predict the winning constructor', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'constructor', 'name_localizations': None, 'description': 'Select your most-scoring constructor', 'description_localizations': None, 'required': True, 'autocomplete': True}], 'nsfw': False}, {'id': '1468681896027357296', 'application_id': '1468255984056012812', 'version': '1468827119424508068', 'default_member_permissions': None, 'type': 1, 'name': 'prediction_lock', 'name_localizations': None, 'description': 'Manually Lock/Unlock predictions', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'prediction', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Race', 'name_localizations': None, 'value': 'race'}, {'name': 'Sprint', 'name_localizations': None, 'value': 'sprint'}]}, {'type': 3, 'name': 'state', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Lock', 'name_localizations': None, 'value': 'LOCKED'}, {'name': 'Unlock', 'name_localizations': None, 'value': 'OPEN'}, {'name': 'Auto', 'name_localizations': None, 'value': 'AUTO'}]}], 'nsfw': False}, {'id': '1468668832028688406', 'application_id': '1468255984056012812', 'version': '1468681896027357298', 'default_member_permissions': None, 'type': 1, 'name': 'season_predict', 'name_localizations': None, 'description': 'Predict the WDC & WCC', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1468663724163338290', 'application_id': '1468255984056012812', 'version': '1469296780536446999', 'default_member_permissions': None, 'type': 1, 'name': 'season_lock', 'name_localizations': None, 'description': 'Lock season predictions (MODS ONLY)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1468663724163338291', 'application_id': '1468255984056012812', 'version': '1469296780536447000', 'default_member_permissions': None, 'type': 1, 'name': 'season_unlock', 'name_localizations': None, 'description': 'Unlock season predictions (MODS ONLY)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1468981275904966810', 'application_id': '1468255984056012812', 'version': '1469006739432145017', 'default_member_permissions': None, 'type': 1, 'name': 'leaderboard', 'name_localizations': None, 'description': 'View the leaderboard', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1468998198273245385', 'application_id': '1468255984056012812', 'version': '1468998198273245386', 'default_member_permissions': None, 'type': 1, 'name': 'guide', 'name_localizations': None, 'description': 'Get a list of bot commands and how to use them', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1469233770434531339', 'application_id': '1468255984056012812', 'version': '1470782929876815884', 'default_member_permissions': None, 'type': 1, 'name': 'crazy_predict', 'name_localizations': None, 'description': 'Submit your absolutely unhinged prediction for the season', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'prediction', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1470768050113478809', 'application_id': '1468255984056012812', 'version': '1470768050113478810', 'default_member_permissions': None, 'type': 1, 'name': 'view_crazy_predictions', 'name_localizations': None, 'description': "View a user's crazy season predictions", 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1469296780536446996', 'application_id': '1468255984056012812', 'version': '1469998957693374526', 'default_member_permissions': None, 'type': 1, 'name': 'race_bold_predict', 'name_localizations': None, 'description': 'Submit or update your bold prediction for the next race', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'prediction', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1469243654840385692', 'application_id': '1468255984056012812', 'version': '1469243654840385693', 'default_member_permissions': None, 'type': 1, 'name': 'update_leaderboard', 'name_localizations': None, 'description': 'Manually update the leaderboard', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2026-02-10 19:53:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 3, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQ3MDc4NzE3NTA1MzUyOTMyMTpIYW9lanVIdjNlSm9oMnA2MVk3ZFRCZkpsdnk2N0RWSVNUTkhFY29lNFJseENHYXdHTVJMYzJxb2o2T09sMElzR3ExTWJFY09YN2lpczY2UXR5QmtoOHEwbnJsUlBKUnZCSjcxOUVhcjNUd0FEMlVTRkFaV0RpRkJaWVVTQnRHZg', 'member': {'user': {'username': 'therocketeer314', 'public_flags': 0, 'primary_guild': {'tag': 'RCKT', 'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'id': '1349232762770690080', 'global_name': 'TheRocketeer314', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'RCKT', 'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'avatar_decoration_data': {'sku_id': '1432550258730078258', 'expires_at': None, 'asset': 'a_6d16abde318608c1359b4da8d74c6f6c'}, 'avatar': 'a0913a1be05dc6e5d6f1cb7799ee4a5d'}, 'unusual_dm_activity_until': None, 'roles': ['1466738153019805842'], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-29T15:19:35.532000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1470787175053529321', 'guild_locale': 'en-US', 'guild_id': '1466452726647885867', 'guild': {'locale': 'en-US', 'id': '1466452726647885867', 'features': ['BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE', 'PIN_PERMISSION_MIGRATION_COMPLETE']}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'options': [{'value': 'Max will leave F1', 'type': 3, 'name': 'prediction'}], 'name': 'crazy_predict', 'id': '1469233770434531339'}, 'context': 0, 'channel_id': '1466452728015224917', 'channel': {'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '9007199254740991', 'parent_id': '1466452728015224915', 'nsfw': False, 'name': 'general', 'last_pin_timestamp': '2026-02-10T13:19:10.016000+00:00', 'last_message_id': '1470786968102371341', 'id': '1466452728015224917', 'icon_emoji': {'name': '👋', 'id': None}, 'guild_id': '1466452726647885867', 'flags': 0}, 'authorizing_integration_owners': {'0': '1466452726647885867'}, 'attachment_size_limit': 10485760, 'application_id': '1468255984056012812', 'app_permissions': '2248473465843265'}}
[2026-02-10 19:53:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-10 19:53:09] [DEBUG   ] discord.client: Dispatching event interaction
[2026-02-10 19:53:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'webhook_id': '1468255984056012812', 'type': 20, 'tts': False, 'timestamp': '2026-02-10T14:23:09.153000+00:00', 'position': 0, 'pinned': False, 'nonce': '1470787173472010240', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'interaction_metadata': {'user': {'username': 'therocketeer314', 'public_flags': 0, 'primary_guild': {'tag': 'RCKT', 'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'id': '1349232762770690080', 'global_name': 'TheRocketeer314', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'RCKT', 'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'avatar_decoration_data': {'sku_id': '1432550258730078258', 'expires_at': None, 'asset': 'a_6d16abde318608c1359b4da8d74c6f6c'}, 'avatar': 'a0913a1be05dc6e5d6f1cb7799ee4a5d'}, 'type': 2, 'name': 'crazy_predict', 'id': '1470787175053529321', 'command_type': 1, 'authorizing_integration_owners': {'0': '1466452726647885867'}}, 'interaction': {'user': {'username': 'therocketeer314', 'public_flags': 0, 'primary_guild': {'tag': 'RCKT', 'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'id': '1349232762770690080', 'global_name': 'TheRocketeer314', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'RCKT', 'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'avatar_decoration_data': {'sku_id': '1432550258730078258', 'expires_at': None, 'asset': 'a_6d16abde318608c1359b4da8d74c6f6c'}, 'avatar': 'a0913a1be05dc6e5d6f1cb7799ee4a5d'}, 'type': 2, 'name': 'crazy_predict', 'id': '1470787175053529321'}, 'id': '1470787178056384707', 'flags': 192, 'embeds': [], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1466452728015224917', 'author': {'username': 'F1PredictBotTest2', 'public_flags': 0, 'primary_guild': None, 'id': '1468255984056012812', 'global_name': None, 'display_name_styles': None, 'discriminator': '6010', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7c197a7da7961ce379b32cc6f118040e'}, 'attachments': [], 'application_id': '1468255984056012812'}}
[2026-02-10 19:53:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-10 19:53:09] [DEBUG   ] discord.client: Dispatching event message
[2026-02-10 19:53:09] [DEBUG   ] discord.webhook.async_: Webhook ID 1470787175053529321 with POST https://discord.com/api/v10/interactions/1470787175053529321/aW50ZXJhY3Rpb246MTQ3MDc4NzE3NTA1MzUyOTMyMTpIYW9lanVIdjNlSm9oMnA2MVk3ZFRCZkpsdnk2N0RWSVNUTkhFY29lNFJseENHYXdHTVJMYzJxb2o2T09sMElzR3ExTWJFY09YN2lpczY2UXR5QmtoOHEwbnJsUlBKUnZCSjcxOUVhcjNUd0FEMlVTRkFaV0RpRkJaWVVTQnRHZg/callback has returned status code 200
